time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2777088,3036,1356,914,0.00011124800000000002,0.10801415122114122,-4.285753518342972,-0.00850992307823617,5420,0.0057886383,-0.006512653082609177,0.15,0.9872192144393921,0.075927734375,785.84,35.79307922
2779136,3039,1357,914,0.00011114560000000001,0.0959017644636333,-4.272059202194214,-0.0083493279380491,5424,0.004825931,-0.014267437160015106,0.15,0.9793553948402405,0.085205078125,784.39,35.79269065
2781184,3041,1358,914,0.00011104320000000001,0.11686001252382994,-4.324259668588638,-0.008560191956348717,5428,0.0060225762,-0.018619727343320847,0.15,0.953101634979248,0.0732421875,784.39,35.79269065
2783232,3044,1359,914,0.00011094080000000001,0.08634374244138598,-4.351302832365036,-0.008832148698274978,5432,0.00587574,-0.022610992193222046,0.15,0.9730137586593628,0.078125,788.35,35.92717706
2785280,3047,1360,914,0.0001108384,0.07533805002458394,-4.346260577440262,-0.006457986441091634,5436,0.005797977,-0.02493201568722725,0.15,0.9852145314216614,0.082275390625,786.55,35.8091375
2787328,3049,1361,913,0.000110736,0.08665945357643068,-4.390349790453911,-0.008140483681927435,5440,0.0042934995,-0.027753334492444992,0.15,0.9834712743759155,0.0584716796875,789.75,36.06005441
2789376,3052,1362,913,0.0001106336,0.11506969202309847,-4.200968444347382,-0.00665565297822468,5444,0.0047508767,-0.01640680432319641,0.15,0.9879661798477173,0.0616455078125,790.8,36.101156180000004
2791424,3055,1363,913,0.0001105312,0.14015795616433024,-4.129833936691284,-0.007075790170347318,5448,0.0038595686,0.04874464124441147,0.15,0.9755009412765503,0.0548095703125,789.61,36.10947906
2793472,3057,1364,913,0.0001104288,0.09191455342806876,-4.342516973614693,-0.007867322550737299,5452,0.006241837,-0.006617669016122818,0.15,0.9693343639373779,0.0745849609375,789.3,36.137049420000004
2795520,3060,1365,913,0.00011032639999999999,0.06718593242112547,-4.325312301516533,-0.0090089519508183,5456,0.004917752,-0.022858113050460815,0.15,0.9856826066970825,0.0855712890625,789.3,36.137049420000004
2797568,3063,1366,913,0.000110224,0.10624835034832358,-4.409176006913185,-0.008689787529874593,5460,0.0050149458,-0.017562974244356155,0.15,0.9300316572189331,0.06298828125,789.69,36.2259675
2799616,3065,1367,913,0.00011012159999999999,0.09111148142255843,-4.364662945270538,-0.009887169959256425,5464,0.0055059646,-0.007563900202512741,0.15,0.9851790070533752,0.0694580078125,788.97,36.18304681
2801664,3068,1368,913,0.00011001920000000002,0.09980602096766233,-4.180879473686218,-0.009104633340029977,5468,0.00485599,-0.01752929389476776,0.15,0.9899839758872986,0.066650390625,793.35,36.30212936
2803712,3070,1369,913,0.00010991680000000001,0.08355479571036994,-4.22312793135643,-0.007730302051641047,5472,0.003872114,-0.02879117801785469,0.15,0.9892680048942566,0.080810546875,791.28,36.256014230000005
2805760,3073,1370,912,0.0001098144,0.10720451967790723,-4.289861381053925,-0.008806789424852468,5476,0.0050815176,-0.010299060493707657,0.15,0.9732910990715027,0.0762939453125,790.9,36.17113017
2807808,3075,1371,912,0.00010971200000000001,0.08808052237145603,-4.309615209698677,-0.007335043555940501,5480,0.006123229,-0.020106129348278046,0.15,0.9801665544509888,0.0911865234375,790.9,36.17113017
2809856,3078,1372,912,0.0001096096,0.11501762457191944,-4.381987735629082,-0.007986290293047205,5484,0.0068890024,-0.0039965324103832245,0.15,0.9491831660270691,0.0941162109375,790.83,36.13955463
2811904,3080,1373,912,0.00010950720000000001,0.07627487182617188,-4.346755415201187,-0.006514978667837568,5488,0.0047532087,-0.020512603223323822,0.15,0.9731913208961487,0.0946044921875,795.07,36.344416530000004
2813952,3083,1374,912,0.0001094048,0.07589429675135761,-4.409144341945648,-0.008877755230059847,5492,0.0053708507,-0.036310531198978424,0.15,0.9914969801902771,0.083740234375,796.03,36.31667524
2816000,3085,1375,912,0.00010930239999999999,0.16482806904241443,-4.119784250855446,-0.004311974611482583,5496,0.0052177925,0.026837006211280823,0.15,0.9858628511428833,0.0714111328125,798.42,36.44020366
2818048,3088,1376,912,0.0001092,0.1485530841164291,-4.102009370923042,-0.00534290645737201,5500,0.005026483,0.0013443566858768463,0.15,0.9785100817680359,0.086669921875,799.77,36.56264193
