time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
2512896,1227,2643,950,-3.6127611100673676,0.017148621,-0.025803638724028133,0.0001872288,0.0865042406367138,0.220458984375,0.9795849919319153,0.15,4904,-0.056168608367443085,51.69,729.45
2514944,1228,2645,950,-3.5788829177618027,0.015360465,-0.024955770815722644,0.0001871776,0.06889444275293499,0.22216796875,0.9780652523040771,0.15,4908,-0.04113244265317917,51.59,728.7
2516992,1229,2648,950,-3.6292777732014656,0.011602208,-0.024809931783238426,0.0001871264,0.061657925485633314,0.1832275390625,0.9877266883850098,0.15,4912,-0.05241577327251434,51.41,724.99
2519040,1230,2650,950,-3.548042729496956,0.014054214,-0.02492211846401915,0.0001870752,0.07187924114987254,0.19921875,0.9873351454734802,0.15,4916,-0.05925785005092621,51.74,727.45
2521088,1231,2652,950,-3.6173919811844826,0.015172437,-0.021829117991728708,0.000187024,0.1511503888759762,0.1812744140625,0.9781187176704407,0.15,4920,-0.03566496819257736,51.74,726.73
2523136,1232,2654,950,-3.5224510580301285,0.015056017,-0.025223970180377364,0.00018697279999999999,0.09778733551502228,0.212890625,0.978741466999054,0.15,4924,-0.046915896236896515,51.82,728.15
2525184,1233,2656,950,-3.645191177725792,0.016285043,-0.028202196350321174,0.0001869216,0.08508026134222746,0.2142333984375,0.97590172290802,0.15,4928,-0.04013848304748535,51.64,726.12
2527232,1234,2659,950,-3.531709708273411,0.013809181,-0.026390122395241633,0.0001868704,0.06202356144785881,0.1929931640625,0.9846839904785156,0.15,4932,-0.05811670050024986,51.78,727.02
2529280,1235,2661,950,-3.6145726293325424,0.013099194,-0.019978618307504803,0.00018681920000000003,0.17219815030694008,0.1962890625,0.9691459536552429,0.15,4936,-0.007530860602855682,51.75,726.8
2531328,1236,2663,950,-3.5995079576969147,0.014070718,-0.024493153061484918,0.000186768,0.08784542954526842,0.1993408203125,0.9835114479064941,0.15,4940,-0.04124237596988678,51.83,727.54
2533376,1237,2665,950,-3.6524279937148094,0.015708216,-0.024625867255963385,0.00018671680000000002,0.1200272710993886,0.203369140625,0.9787687063217163,0.15,4944,-0.03191208094358444,51.88,729.01
2535424,1238,2667,950,-3.612626776099205,0.013009716,-0.023009414624539204,0.0001866656,0.08699889539275318,0.209716796875,0.9726322293281555,0.15,4948,-0.05373885855078697,51.97,729.92
2537472,1239,2669,950,-3.5538653284311295,0.016718797,-0.030505924863973632,0.00018661440000000001,0.06281432358082384,0.2108154296875,0.9832592010498047,0.15,4952,-0.0693897008895874,51.97,728.33
2539520,1240,2671,950,-3.5800440162420273,0.013897577,-0.026526782094151713,0.00018656319999999998,0.07750291237607598,0.203125,0.9852411150932312,0.15,4956,-0.05504557490348816,52.07,730.5
2541568,1241,2674,950,-3.618841126561165,0.015191641,-0.024721628258703277,0.000186512,0.09761163569055498,0.2025146484375,0.980678379535675,0.15,4960,-0.037217848002910614,52.21,731.54
2543616,1242,2676,950,-3.5022131949663162,0.016291823,-0.028030257439240813,0.00018646079999999997,0.08831826038658619,0.223388671875,0.9851377606391907,0.15,4964,-0.043626852333545685,52.28,732.45
2545664,1243,2678,950,-3.640521302819252,0.014145455,-0.024827451386954635,0.00018640960000000003,0.07780437159817666,0.1883544921875,0.9845172166824341,0.15,4968,-0.05905609950423241,52.45,734.22
2547712,1244,2680,950,-3.4515244886279106,0.015268013,-0.028640529955737293,0.0001863584,0.08116010879166424,0.224609375,0.9696053266525269,0.15,4972,-0.05294495448470116,52.52,735.79
2549760,1245,2682,950,-3.587506741285324,0.014974792,-0.026841239363420755,0.00018630720000000002,0.07454180810600519,0.21533203125,0.9840501546859741,0.15,4976,-0.05435231328010559,52.43,733.96
2551808,1246,2684,950,-3.486438885331154,0.015074755,-0.022360643051797524,0.00018625600000000001,0.19091030163690448,0.2200927734375,0.9696018695831299,0.15,4980,-0.021135326474905014,52.49,735.27
2553856,1247,2687,950,-3.5087170973420143,0.017370978,-0.02690905130293686,0.0001862048,0.08552023419179022,0.2171630859375,0.9796964526176453,0.15,4984,-0.030533887445926666,52.58,735.85
2555904,1248,2689,950,-3.6366734728217125,0.018017773,-0.02416053907654714,0.0001861536,0.09862908278591931,0.212890625,0.9608163833618164,0.15,4988,-0.03442849963903427,52.67,736.94
2557952,1249,2691,950,-3.5797075256705284,0.0138721615,-0.025070280200452544,0.0001861024,0.09844710235483944,0.2249755859375,0.9713953733444214,0.15,4992,-0.03155510127544403,52.85,739.38
2560000,1250,2693,950,-3.485928751528263,0.017598877,-0.02997471421258524,0.0001860512,0.07600003434345126,0.2421875,0.9784822463989258,0.15,4996,-0.04920821636915207,53.06,740.95
2562048,1251,2695,950,-3.507723741233349,0.014415061,-0.024486650276230648,0.000186,0.09051449480466545,0.179931640625,0.9844171404838562,0.15,5000,-0.033225998282432556,53.03,740.26
2564096,1252,2697,950,-3.5599153339862823,0.016863074,-0.022971983620664105,0.0001859488,0.14509551716037095,0.232421875,0.974124014377594,0.15,5004,-0.009826809167861938,53.26,741.93
2566144,1253,2699,950,-3.531835198402405,0.01731691,-0.026830983260879293,0.0001858976,0.1281140958890319,0.2325439453125,0.9681008458137512,0.15,5008,-0.009464025497436523,53.21,740.7
2568192,1254,2702,950,-3.418763868510723,0.01744948,-0.027429219873738475,0.0001858464,0.129747990751639,0.2403564453125,0.9626069664955139,0.15,5012,-0.018842101097106934,53.17,739.47
2570240,1255,2704,950,-3.5700447782874107,0.017684117,-0.02675097482278943,0.0001857952,0.07093331578653306,0.1981201171875,0.9814027547836304,0.15,5016,-0.05638262629508972,53.14,738.89
2572288,1256,2706,950,-3.437305837869644,0.014185246,-0.024851915368344635,0.00018574400000000003,0.12686858605593443,0.2025146484375,0.9521949887275696,0.15,5020,-0.02093074470758438,52.88,734.23
2574336,1257,2708,950,-3.474873460829258,0.012569692,-0.023433307665982284,0.0001856928,0.14997387770563364,0.208740234375,0.9792329668998718,0.15,5024,-0.009845361113548279,52.93,735.04
2576384,1258,2710,950,-3.4868210777640343,0.015984457,-0.02119729609694332,0.00018564160000000002,0.10921151051297784,0.2147216796875,0.9795771241188049,0.15,5028,-0.03181767091155052,53.0,735.69
2578432,1259,2712,950,-3.5321124345064163,0.017459914,-0.02459708839887753,0.0001855904,0.1006028288975358,0.252685546875,0.9813243746757507,0.15,5032,-0.036236852407455444,52.8,732.97
2580480,1260,2714,950,-3.4258700609207153,0.016378194,-0.02648813492851332,0.00018553920000000001,0.06840092223137617,0.2095947265625,0.9753325581550598,0.15,5036,-0.06532655656337738,53.02,734.65
2582528,1261,2716,950,-3.4212993532419205,0.014171898,-0.027433759038103744,0.00018548799999999998,0.06329172267578542,0.2010498046875,0.9790435433387756,0.15,5040,-0.057125069200992584,52.87,733.06
2584576,1262,2719,950,-3.4183633998036385,0.01438181,-0.022628166916547343,0.0001854368,0.08478850754909217,0.2049560546875,0.9791430830955505,0.15,5044,-0.03381805866956711,53.0,734.23
2586624,1263,2721,950,-3.428560681641102,0.016639473,-0.028557777142850682,0.00018538559999999998,0.06528094678651541,0.2596435546875,0.9896056056022644,0.15,5048,-0.04838698357343674,52.97,733.33
2588672,1264,2723,950,-3.5399747788906097,0.017609278,-0.027251798514043912,0.00018533440000000003,0.06112279917579144,0.24169921875,0.9873030781745911,0.15,5052,-0.05862689018249512,53.1,735.44
2590720,1265,2725,950,-3.5069510862231255,0.016372733,-0.02915990658220835,0.0001852832,0.06258584000170231,0.23828125,0.986473560333252,0.15,5056,-0.05861896276473999,53.33,738.81
2592768,1266,2727,950,-3.496907964348793,0.016958568,-0.02568035153672099,0.00018523200000000002,0.0677275963826105,0.25,0.9840326905250549,0.15,5060,-0.04904191195964813,53.41,739.28
2594816,1267,2729,950,-3.565768375992775,0.017759897,-0.02369513173471205,0.00018518080000000001,0.12362381862476468,0.238525390625,0.9688159227371216,0.15,5064,-0.03640323132276535,53.23,737.11
2596864,1268,2731,950,-3.541157141327858,0.012897294,-0.02342977780062938,0.0001851296,0.14403166179545224,0.1927490234375,0.9714678525924683,0.15,5068,-0.01741841435432434,53.36,738.92
2598912,1269,2734,950,-3.4890555813908577,0.01886077,-0.027116111188661307,0.0001850784,0.08426491566933692,0.2271728515625,0.9823741316795349,0.15,5072,-0.06509744375944138,53.56,740.16
2600960,1270,2736,950,-3.6750478744506836,0.015916595,-0.02394905884284526,0.0001850272,0.1354971758555621,0.2308349609375,0.9752006530761719,0.15,5076,-0.021083340048789978,53.57,740.27
2603008,1271,2738,950,-3.4011468812823296,0.014511919,-0.02664805279346183,0.000184976,0.09040080546401441,0.22119140625,0.9830479025840759,0.15,5080,-0.04465944692492485,53.56,740.29
2605056,1272,2740,950,-3.6555519327521324,0.017395329,-0.0306014759989921,0.0001849248,0.06714841176290065,0.2064208984375,0.9881483912467957,0.15,5084,-0.059200137853622437,53.54,739.92
2607104,1273,2742,950,-3.5223429054021835,0.01669729,-0.024862296239007264,0.0001848736,0.11033808439970016,0.22216796875,0.9596693515777588,0.15,5088,-0.036452680826187134,53.45,738.33
2609152,1274,2744,950,-3.45603958517313,0.017162248,-0.026610382046783343,0.00018482240000000001,0.11750602908432484,0.20849609375,0.9754604697227478,0.15,5092,-0.041190098971128464,53.27,736.56
2611200,1275,2747,950,-3.6800523921847343,0.015000588,-0.02633590580080636,0.0001847712,0.10939541226252913,0.2259521484375,0.981985867023468,0.15,5096,-0.010395370423793793,53.23,735.15
2613248,1276,2749,950,-3.4500843584537506,0.01506667,-0.026229498500470072,0.00018472,0.1358158488292247,0.1988525390625,0.9717029333114624,0.15,5100,-0.03669707477092743,53.07,733.28
2615296,1277,2751,950,-3.645490549504757,0.01640089,-0.026548821188043803,0.0001846688,0.1804637226741761,0.218994140625,0.9513311386108398,0.15,5104,-0.024289891123771667,53.01,732.68
2617344,1278,2753,950,-3.7157129868865013,0.016034652,-0.026279837533365935,0.0001846176,0.09816563571803272,0.2193603515625,0.9583783745765686,0.15,5108,-0.05706680566072464,53.09,734.03
2619392,1279,2755,950,-3.515180841088295,0.016514333,-0.02682599144463893,0.00018456640000000002,0.11651777452789247,0.2166748046875,0.9546624422073364,0.15,5112,-0.03242672607302666,53.15,734.28
2621440,1280,2757,950,-3.560377523303032,0.014893098,-0.026063220051582903,0.0001845152,0.17720811814069748,0.2098388671875,0.9600250720977783,0.15,5116,-0.02727436274290085,53.23,734.78
2623488,1281,2759,950,-3.7210828587412834,0.015080795,-0.02525618366780691,0.00018446400000000001,0.1464721132069826,0.22802734375,0.9624078273773193,0.15,5120,-0.02434156835079193,53.48,737.44
2625536,1282,2762,950,-3.6386947855353355,0.017465416,-0.025678605074062943,0.00018441279999999998,0.18773910962045193,0.2286376953125,0.9500258564949036,0.15,5124,-0.028381556272506714,53.35,735.63
2627584,1283,2764,950,-3.7897983714938164,0.016091553,-0.026046818384202197,0.0001843616,0.1676935616414994,0.216064453125,0.9453292489051819,0.15,5128,-0.01134655624628067,53.62,739.04
2629632,1284,2766,950,-3.6942030414938927,0.017842345,-0.027496519702253863,0.00018431039999999998,0.08223081147298217,0.2437744140625,0.9597123265266418,0.15,5132,-0.05254337936639786,53.74,740.63
2631680,1285,2768,950,-3.4831955581903458,0.01747391,-0.02751073316903785,0.00018425920000000003,0.14648980577476323,0.2559814453125,0.9374528527259827,0.15,5136,-0.03657234460115433,53.58,738.99
2633728,1286,2770,950,-3.653611831367016,0.014263306,-0.026829581329366192,0.000184208,0.12217901134863496,0.2091064453125,0.969558596611023,0.15,5140,-0.054497405886650085,53.69,739.22
2635776,1287,2772,950,-3.8262159302830696,0.018416226,-0.026873639231780544,0.00018415680000000002,0.10325490101240575,0.2166748046875,0.9781416654586792,0.15,5144,-0.04736160859465599,53.84,740.52
2637824,1288,2775,950,-3.7999322712421417,0.015671017,-0.026814539582119323,0.0001841056,0.13630525371991098,0.248046875,0.9610359072685242,0.15,5148,-0.027118977159261703,53.91,741.87
2639872,1289,2777,950,-3.679558612406254,0.015809298,-0.02897562217549421,0.0001840544,0.08954110683407634,0.2205810546875,0.9676439762115479,0.15,5152,-0.05609908327460289,53.93,742.77
