time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2863104,545,5244,1398,5588,0.1691632450092584,0.9825880527496338,-0.05717318240203895,0.15,0.00010694719999999999,-0.07756433635950089,0.115420535,-3.36555428057909,0.396240234375,1040.94,68.57539086999999
2865152,545,5247,1399,5592,0.1759051049593836,0.9836335182189941,-0.05707599819288589,0.15,0.0001068448,-0.0659252405166626,0.15013538,-3.379302568733692,0.4117431640625,1045.01,68.93419046
2867200,545,5251,1400,5596,0.21482701320201159,0.9773957133293152,-0.056229961541248485,0.15,0.00010674239999999999,-0.04939649999141693,0.12890597,-3.2073113322257996,0.40283203125,1043.15,68.91268336999998
2869248,546,5255,1401,5600,0.40602120012044907,0.9533050060272217,-0.05070255004102364,0.15,0.00010664000000000001,0.0384070947766304,0.10315217,-3.309222474694252,0.3604736328125,1048.27,69.26686405000001
2871296,545,5259,1402,5604,0.24655036954209208,0.9671517610549927,-0.05131794043700211,0.15,0.00010653760000000001,-0.01871585100889206,0.12060186,-3.3409789949655533,0.3681640625,1049.47,69.39757748999999
2873344,545,5263,1403,5608,0.3468956742435694,0.9505664110183716,-0.0420768111362122,0.15,0.00010643520000000001,-0.003334835171699524,0.096263476,-3.211145468056202,0.33642578125,1048.1,69.53943562
2875392,545,5266,1404,5612,0.22003048658370972,0.971297562122345,-0.047335786221083254,0.15,0.00010633280000000001,-0.05892554670572281,0.1253314,-3.1503211334347725,0.35205078125,1045.28,69.41765652999999
2877440,545,5270,1405,5616,0.2872266285121441,0.9539574980735779,-0.04979481958434917,0.15,0.0001062304,-0.0371682345867157,0.11610531,-3.324231542646885,0.3946533203125,1045.03,69.43589291
2879488,545,5274,1406,5620,0.1554590961895883,0.9738982319831848,-0.05609507844201289,0.15,0.000106128,-0.07582640647888184,0.1424394,-3.2831899002194405,0.423583984375,1045.03,69.43589291
2881536,545,5278,1407,5624,0.24418912455439568,0.9453957080841064,-0.05497901589842513,0.15,0.0001060256,-0.0571916326880455,0.111074135,-3.595472365617752,0.3861083984375,1053.9,69.89562053
2883584,545,5282,1408,5628,0.4811538173817098,0.9232314229011536,-0.04456833185395226,0.15,0.0001059232,0.0937526524066925,0.08119212,-3.3442617133259773,0.32373046875,1053.34,69.85488362999999
2885632,545,5285,1409,5632,0.21638640598393977,0.9736260175704956,-0.05179026781115681,0.15,0.00010582079999999999,-0.06718164682388306,0.10072833,-3.0262510031461716,0.3525390625,1050.19,69.55617119000001
2887680,545,5289,1410,5636,0.28040927834808826,0.9551292657852173,-0.050680385233135894,0.15,0.0001057184,-0.037164390087127686,0.11845031,-3.2785747423768044,0.37939453125,1050.56,69.62900621000001
2889728,545,5293,1411,5640,0.33805354312062263,0.949935257434845,-0.04827071080217138,0.15,0.00010561599999999999,0.009113945066928864,0.10113313,-3.385963812470436,0.3525390625,1051.03,69.64317618
2891776,545,5297,1412,5644,0.2731020147912204,0.9646168947219849,-0.052469680609647185,0.15,0.00010551360000000002,-0.06715145707130432,0.11335309,-3.4191750213503838,0.382568359375,1053.23,69.75994764000001
2893824,545,5301,1413,5648,0.21267758077010512,0.973770260810852,-0.05453506589401513,0.15,0.00010541120000000001,-0.06572499126195908,0.18115795,-3.359684504568577,0.3785400390625,1052.69,69.65552047999999
2895872,545,5305,1414,5652,0.23192646447569132,0.9696936011314392,-0.04770306836871896,0.15,0.0001053088,-0.044171616435050964,0.16449532,-3.366352505981922,0.35205078125,1054.16,69.66679973
2897920,545,5309,1415,5656,0.2446141242980957,0.9495399594306946,-0.050517092138761654,0.15,0.00010520640000000001,-0.036050423979759216,0.10998188,-3.2518427297472954,0.36083984375,1050.2,69.52748781
