time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range
8701952,9915,4249,877,0.31295279134064913,0.04638671875,-3.8759404197335243,0.004345406,0.04946557432413101,-0.010534118133364245,974.84,80.32,0.9678735136985779,16992,3.250239999999999e-05,0.15
8704000,9917,4250,877,0.4125645053572953,0.0750732421875,-3.5461511313915253,0.00642595,0.2263495922088623,-0.010749354609288275,974.84,80.32,0.9534916877746582,16996,3.245120000000001e-05,0.15
8706048,9920,4251,877,0.3350471300072968,0.073974609375,-3.42919010668993,0.006196832,0.059528648853302,-0.011664150661090389,974.84,80.32,0.9106010794639587,17000,3.2400000000000015e-05,0.15
8708096,9922,4252,877,0.3583089397288859,0.0791015625,-3.693075619637966,0.006570462,0.08582362532615662,-0.014511798042804003,982.09,81.1,0.9392167925834656,17004,3.234880000000001e-05,0.15
8710144,9924,4253,877,0.18114494066685438,0.0618896484375,-3.4648177325725555,0.0056563057,0.028319135308265686,-0.016044965435867198,975.04,80.42,0.9835676550865173,17008,3.229760000000001e-05,0.15
8712192,9926,4254,877,0.3298917948268354,0.0469970703125,-3.645357519388199,0.0048796088,0.05348582565784454,-0.012841079733334482,983.93,81.4,0.9600169062614441,17012,3.224640000000001e-05,0.15
8714240,9929,4255,877,0.39759314339607954,0.071533203125,-3.5392077639698982,0.006069869,0.17321807146072388,-0.010720420541474596,982.37,81.29,0.9581644535064697,17016,3.2195200000000006e-05,0.15
8716288,9931,4256,877,0.2837359826080501,0.0740966796875,-3.364852100610733,0.006860405,0.05612504482269287,-0.009632387605961412,975.77,80.79,0.9522795081138611,17020,3.214400000000001e-05,0.15
8718336,9933,4257,877,0.675523511134088,0.1396484375,-3.704665184020996,0.0116032,0.21015852689743042,-0.006810584396589547,969.95,80.15,0.9058622121810913,17024,3.2092800000000006e-05,0.15
8720384,9935,4258,877,0.2612934694625437,0.06689453125,-3.5403210520744324,0.0052133165,0.04291495680809021,-0.013675126014277339,969.95,80.15,0.9671424031257629,17028,3.20416e-05,0.15
