time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
867,9064448,10454,4426,0.9958291053771973,0.15,0.0040317755,-0.034370146691799164,2.343999999999999e-05,0.0428466796875,-0.010261933799483813,-3.229778528213501,17700,0.04288951330818236,52.421775799999985,610.14
867,9066496,10457,4427,0.9975510239601135,0.15,0.00459712,-0.04328949749469757,2.338879999999999e-05,0.045654296875,-0.01126148531329818,-3.3330094143748283,17704,0.03522078931564465,52.481479089999986,610.7
867,9068544,10459,4428,0.9973801374435425,0.15,0.0038056236,-0.03973286598920822,2.3337599999999988e-05,0.0384521484375,-0.010831044230144471,-3.198772244155407,17708,0.03133629140211269,52.39282991,610.49
867,9070592,10461,4429,0.9970290064811707,0.15,0.003712507,-0.03872602432966232,2.3286400000000015e-05,0.03125,-0.010886546107940376,-3.2906236574053764,17712,0.03642301802756265,52.45901572,611.83
867,9072640,10464,4430,0.9964735507965088,0.15,0.0032998759,-0.042120561003685,2.323520000000001e-05,0.025390625,-0.01083097347873263,-3.2977399602532387,17716,0.035900754446629435,52.37301428999999,608.96
867,9074688,10466,4431,0.9939385056495667,0.15,0.0045206393,-0.024917632341384888,2.318400000000001e-05,0.0421142578125,-0.01119904118240811,-3.2237740457057953,17720,0.06441038486082107,52.34311989,610.33
866,9076736,10469,4432,0.9970212578773499,0.15,0.0047730478,-0.02641076222062111,2.313280000000001e-05,0.0401611328125,-0.01154675698489882,-3.214933894574642,17724,0.04206622811034322,52.32231973,610.94
866,9078784,10471,4433,0.9969846606254578,0.15,0.004320325,-0.035596173256635666,2.308160000000001e-05,0.03564453125,-0.012648633477510884,-3.3229758739471436,17728,0.03438872250262648,52.33141396999999,611.05
866,9080832,10473,4434,0.9970917105674744,0.15,0.0044658463,-0.04645821452140808,2.3030400000000006e-05,0.0391845703125,-0.012562651972984895,-3.2475858107209206,17732,0.032281131425406784,52.272609759999995,610.52
866,9082880,10476,4435,0.9977229237556458,0.15,0.0039824084,-0.044008105993270874,2.2979200000000005e-05,0.0364990234375,-0.011438444867962971,-3.3938581869006157,17736,0.03258116287179291,52.28986309999999,612.4
866,9084928,10478,4436,0.9977251291275024,0.15,0.0053349826,-0.03206978365778923,2.2928000000000005e-05,0.0506591796875,-0.010816992813488469,-3.23896361887455,17740,0.027647062961477786,52.27991254,612.31
866,9086976,10481,4437,0.9968258142471313,0.15,0.0039302628,-0.03569193556904793,2.2876800000000004e-05,0.0325927734375,-0.010533992710406892,-3.40360114723444,17744,0.04357040347531438,52.32880894999998,611.67
866,9089024,10483,4438,0.9971764087677002,0.15,0.003378463,-0.040200185030698776,2.28256e-05,0.033447265625,-0.01054777906392701,-3.3321531414985657,17748,0.03309460630407557,52.26001812999999,611.3
866,9091072,10486,4439,0.9973599910736084,0.15,0.0035523681,-0.03975677490234375,2.27744e-05,0.033935546875,-0.011364912963472307,-3.2879029363393784,17752,0.02994774718536064,52.23107224,611.02
866,9093120,10488,4440,0.9984177350997925,0.15,0.0029166457,-0.04413192719221115,2.27232e-05,0.027587890625,-0.010545991899562068,-3.3357866778969765,17756,0.021694829454645514,52.132465829999994,609.84
866,9095168,10490,4441,0.994505763053894,0.15,0.0036272304,-0.03189605847001076,2.2672e-05,0.04736328125,-0.011829066148493439,-3.132617272436619,17760,0.054354513878934085,52.07366161,608.94
866,9097216,10493,4442,0.9965716600418091,0.15,0.004541579,-0.033402055501937866,2.2620799999999995e-05,0.038330078125,-0.01087141633615829,-3.3266207426786423,17764,0.043302497593685985,52.04380996999999,609.24
866,9099264,10495,4443,0.995010256767273,0.15,0.0049971417,-0.02906731143593788,2.2569599999999995e-05,0.04345703125,-0.011547643836820498,-3.266437530517578,17768,0.049231526674702764,52.08270640999999,609.92
866,9101312,10498,4444,0.996498167514801,0.15,0.004457657,-0.04624306410551071,2.2518399999999994e-05,0.042724609375,-0.01193750451784581,-3.2949152290821075,17772,0.037756789883133024,52.09441233999999,609.03
866,9103360,10500,4445,0.9961974024772644,0.15,0.0031167967,-0.020445792004466057,2.2467199999999994e-05,0.0262451171875,-0.009445344912819564,-3.3900288194417953,17776,0.05649248487316072,52.10427068999999,609.11
866,9105408,10502,4446,0.9940692782402039,0.15,0.0029524027,-0.016431283205747604,2.2415999999999993e-05,0.02587890625,-0.010080200911033899,-3.2076748982071877,17780,0.06590535363648087,52.057122959999994,608.25
866,9107456,10505,4447,0.9962469339370728,0.15,0.0038929419,-0.03689407929778099,2.236479999999999e-05,0.0313720703125,-0.009713225153973326,-3.2493065893650055,17784,0.036203736322931945,52.09692514999999,608.23
866,9109504,10507,4448,0.9957876801490784,0.15,0.0027338327,-0.041822049766778946,2.231359999999999e-05,0.02490234375,-0.008501576317939907,-3.2504405230283737,17788,0.04002597270300612,52.057080219999996,607.95
866,9111552,10509,4449,0.9970748424530029,0.15,0.003829218,-0.041720762848854065,2.226239999999999e-05,0.027587890625,-0.010964450659230351,-3.475958839058876,17792,0.03888580575585365,52.017235279999994,608.01
866,9113600,10512,4450,0.9964504837989807,0.15,0.003934197,-0.035251595079898834,2.2211199999999988e-05,0.040771484375,-0.01147927952115424,-3.3410904183983803,17796,0.050571704865433276,51.99648455999999,606.71
866,9115648,10514,4451,0.9971961379051208,0.15,0.0034683635,-0.03877623379230499,2.2160000000000015e-05,0.025390625,-0.009790186217287555,-3.162410095334053,17800,0.03276221634587273,51.956682369999996,606.59
866,9117696,10517,4452,0.9955053925514221,0.15,0.0032150717,-0.033245012164115906,2.210880000000001e-05,0.031005859375,-0.009204254020005465,-3.105931282043457,17804,0.034247092495206743,51.898691719999995,605.6
866,9119744,10519,4453,0.9957858920097351,0.15,0.003957605,-0.02560090646147728,2.205760000000001e-05,0.0379638671875,-0.009712199680507183,-3.239553064107895,17808,0.037438129482325166,51.848082670000004,604.77
866,9121792,10521,4454,0.9965331554412842,0.15,0.0043292916,-0.03110785409808159,2.200640000000001e-05,0.033203125,-0.010688141599530354,-3.39104788005352,17812,0.04499522328842431,51.81913009,603.7
866,9123840,10524,4455,0.9977560639381409,0.15,0.0043700174,-0.04836108908057213,2.195520000000001e-05,0.0450439453125,-0.011354956805007532,-3.179189093410969,17816,0.027309842058457434,51.73858389,604.33
866,9125888,10526,4456,0.9969314932823181,0.15,0.0050730384,-0.0363452322781086,2.1904000000000006e-05,0.053955078125,-0.011263391672400758,-3.22375900298357,17820,0.033728472888469696,51.73768482,604.67
866,9127936,10529,4457,0.9964397549629211,0.15,0.0033134003,-0.03630581125617027,2.1852800000000005e-05,0.0281982421875,-0.010514050984056666,-3.24488428235054,17824,0.039381033508107066,51.70783985999999,605.39
866,9129984,10531,4458,0.9964410662651062,0.15,0.0041459803,-0.034666284918785095,2.1801600000000005e-05,0.0413818359375,-0.010608699405565858,-3.293740451335907,17828,0.03404103493085131,51.817331939999995,605.25
866,9132032,10533,4459,0.9980924129486084,0.15,0.0037979954,-0.04896506667137146,2.1750400000000004e-05,0.0303955078125,-0.011381341784726828,-3.437214747071266,17832,0.030108256556559354,51.795675469999985,606.39
866,9134080,10536,4460,0.9933827519416809,0.15,0.0043391804,-0.023389266803860664,2.1699200000000004e-05,0.0430908203125,-0.011298684767098166,-3.1950895562767982,17836,0.06417820253409445,51.83367953,607.43
866,9136128,10538,4461,0.9967034459114075,0.15,0.0043192934,-0.026319868862628937,2.1648e-05,0.03466796875,-0.010938196181086823,-3.26061799377203,17840,0.03476516029331833,51.85276704999999,607.01
866,9138176,10540,4462,0.9969522953033447,0.15,0.0044426755,-0.03855584189295769,2.15968e-05,0.043701171875,-0.01205723277234938,-3.339422643184662,17844,0.03251124720554799,51.79563271999999,606.39
866,9140224,10543,4463,0.9978104829788208,0.15,0.004626317,-0.04351150989532471,2.15456e-05,0.043212890625,-0.011183627553691622,-3.240624286234379,17848,0.026659702998586,51.744980919999996,606.07
866,9142272,10545,4464,0.9983625411987305,0.15,0.0048580198,-0.04316611960530281,2.14944e-05,0.0438232421875,-0.01124551409156993,-3.4569618701934814,17852,0.02643776050535962,51.774832559999986,606.0
866,9144320,10548,4465,0.9959388971328735,0.15,0.0031024215,-0.029955986887216568,2.1443199999999995e-05,0.0264892578125,-0.010412309886305593,-3.012488253414631,17856,0.03894770669285208,51.784783099999984,605.42
