time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1058,166,86,176128,0.06565192341804504,-0.0026375634988653474,0.7957492470741272,0.15,0.27647987520322204,0.0218505859375,-5.429775282740593,9.651840000000001e-05,340,0.0016476813,19.02758884,711.67
1058,168,87,178176,0.035670340061187744,-0.0010969398135785013,0.8183727860450745,0.15,0.22471000719815493,0.014404296875,-5.445645049214363,9.647744000000001e-05,344,0.0014186347,19.02388513,705.1
1057,170,88,180224,0.06550755351781845,-0.001322262003668584,0.8297485113143921,0.15,0.2684740861877799,0.0069580078125,-5.460173174738884,9.643648e-05,348,0.0013437609,19.16236379,702.92
1057,172,89,182272,0.06847431510686874,-0.000795472675235942,0.789210319519043,0.15,0.2632829095236957,0.01806640625,-5.457850560545921,9.639552000000001e-05,352,0.0006861094,19.31542948,703.49
1057,174,90,184320,0.029144607484340668,-0.002385697705904022,0.8406795859336853,0.15,0.18825592705979943,0.0474853515625,-5.460047870874405,9.635456e-05,356,0.0025886185,19.35788466,700.52
1057,176,91,186368,0.04961845651268959,-0.0005050787585787475,0.8085237145423889,0.15,0.22268129186704755,0.015625,-5.447484582662582,9.63136e-05,360,0.00083060656,19.33405622,693.29
1057,178,92,188416,0.0009340420365333557,-0.0028038730670232326,0.859805703163147,0.15,0.17139446642249823,0.0186767578125,-5.4481160789728165,9.627264e-05,364,0.0027110644,19.150582550000003,683.95
1056,180,93,190464,0.03313642367720604,-0.002947560977190733,0.8242143392562866,0.15,0.22218468599021435,0.021728515625,-5.430693104863167,9.623168e-05,368,0.0011954467,19.20732047,677.98
1056,182,94,192512,0.018710516393184662,-0.0016815928829601035,0.8341937065124512,0.15,0.18186994409188628,0.011474609375,-5.444127395749092,9.619072e-05,372,0.001223205,19.35126255,680.34
1056,184,95,194560,0.027988851070404053,-0.0014346857933560386,0.845338761806488,0.15,0.20091652870178223,0.0013427734375,-5.432477310299873,9.614976e-05,376,0.00080652186,19.34555693,678.32
1056,186,96,196608,0.07279226183891296,-0.0012746058637276292,0.7308260202407837,0.15,0.27122148172929883,0.032470703125,-5.420706748962402,9.61088e-05,380,0.0020818675,19.25245624,670.29
1056,188,97,198656,0.037328124046325684,-0.0015372775378637016,0.8584007620811462,0.15,0.19438303727656603,0.027099609375,-5.432730972766876,9.606784e-05,384,0.0018321259,19.32814244,669.58
1055,190,98,200704,0.05527079105377197,-0.0010448928223922849,0.8519887328147888,0.15,0.22712261835113168,0.011962890625,-5.435548096895218,9.602688000000001e-05,388,0.0014704512,19.23852068,665.28
1056,191,99,202752,0.012366663664579391,-0.001273627538466826,0.8336254954338074,0.15,0.21576273487880826,0.0174560546875,-5.4407511949539185,9.598592000000001e-05,392,0.0019090902,19.211124090000002,661.38
1056,193,100,204800,0.03974846005439758,-0.0028248303424334154,0.8080171346664429,0.15,0.198817724827677,0.0469970703125,-5.443450689315796,9.594496e-05,396,0.0025919904,19.211124090000002,661.38
1056,195,101,206848,0.01932237297296524,-0.0016660425899317488,0.7960540652275085,0.15,0.2079728450626135,0.006591796875,-5.415323808789253,9.590400000000001e-05,400,0.0013506382,19.402464459999997,661.33
1056,197,102,208896,0.07602240145206451,-0.003395255102077499,0.7675707936286926,0.15,0.2680865302681923,0.0625,-5.405552387237549,9.586304e-05,404,0.0036569634,19.66249104,660.55
1056,199,103,210944,0.06291782855987549,-0.001329424645518884,0.8511905670166016,0.15,0.26360272616147995,0.037841796875,-5.42166493833065,9.582208e-05,408,0.002074143,19.717229869999997,661.22
1056,201,104,212992,0.03276859223842621,-0.001092976744985208,0.8840450644493103,0.15,0.1831459729000926,0.0191650390625,-5.414863720536232,9.578112e-05,412,0.0015801264,19.78763063,659.43
1056,203,105,215040,0.08774766325950623,-0.001170255520264618,0.7662612199783325,0.15,0.26483588805422187,0.02099609375,-5.409094899892807,9.574016e-05,416,0.0026888754,19.78763063,659.43
1056,205,106,217088,0.055540960282087326,-0.0014876977511448786,0.7066637873649597,0.15,0.2445315378718078,0.0546875,-5.38593690097332,9.56992e-05,420,0.0026971758,19.705769540000002,657.78
1056,207,107,219136,0.047444701194763184,-0.0025377905258210376,0.7616842985153198,0.15,0.23835478676483035,0.0133056640625,-5.383895039558411,9.565824000000001e-05,424,0.0014292884,19.79643003,659.03
1056,209,108,221184,0.041116125881671906,-0.0025739357224665582,0.8767363429069519,0.15,0.21204352797940373,0.022705078125,-5.391309306025505,9.561728000000001e-05,428,0.0012258181,19.755368980000004,658.06
1056,211,109,223232,0.0193728469312191,-0.001971242789295502,0.8991391658782959,0.15,0.17668104683980346,0.066162109375,-5.410369113087654,9.557632e-05,432,0.0015659509,19.86463849,661.19
1055,213,110,225280,0.020290791988372803,-0.0017969059117604047,0.8660348653793335,0.15,0.18736078822985291,0.0394287109375,-5.39122511446476,9.553536000000001e-05,436,0.0022270342,19.86463849,661.19
1055,215,111,227328,0.054223835468292236,-0.003065135417273268,0.80582195520401,0.15,0.24714536499232054,0.023193359375,-5.371976971626282,9.54944e-05,440,0.00276774,19.63557926,655.84
