time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,rollout/ep_rew_mean,train/learning_rate
1916928,898,936,2132,-0.012421827821526676,0.1363525390625,0.9858196973800659,-0.0037709400057792664,3740,0.1819997236598283,-4.6458810567855835,0.15,177.18,0.0070303464,-28.0,0.00020212800000000001
1918976,898,937,2135,-0.013647482817759737,0.177734375,0.9877827763557434,0.018528137356042862,3744,0.1608588278759271,-4.707553640007973,0.15,177.36,0.0076572057,-28.01,0.0002020768
1921024,898,938,2137,-0.01577952440129593,0.1893310546875,0.988499641418457,-0.020812377333641052,3748,0.1583462255075574,-4.695464462041855,0.15,176.99,0.010573265,-28.13,0.0002020256
1923072,898,939,2139,-0.007739161606878042,0.17431640625,0.9833409190177917,0.008103884756565094,3752,0.20854695211164653,-4.6380485743284225,0.15,177.59,0.009426244,-28.23,0.0002019744
1925120,898,940,2141,-0.010437561824801378,0.122802734375,0.9873729944229126,0.07231435924768448,3756,0.18396491301245987,-4.67794032394886,0.15,176.99,0.0077173645,-28.15,0.0002019232
1927168,898,941,2144,-0.013066126120975241,0.137451171875,0.9902622699737549,0.02969992160797119,3760,0.1516872849315405,-4.63956481218338,0.15,177.13,0.009739604,-28.26,0.000201872
1929216,898,942,2146,-0.0051413388282526284,0.1817626953125,0.9788510799407959,-0.013726107776165009,3764,0.20725753856822848,-4.618320345878601,0.15,176.62,0.013616324,-28.23,0.0002018208
1931264,898,943,2148,-0.012217743176734075,0.1107177734375,0.9898807406425476,0.017781440168619156,3768,0.13659048499539495,-4.690743416547775,0.15,177.19,0.0064948336,-28.26,0.0002017696
1933312,898,944,2151,-0.012642589892493561,0.168701171875,0.989952027797699,-0.01967150717973709,3772,0.15397399803623557,-4.64589524269104,0.15,177.75,0.010747889,-28.39,0.00020171839999999998
1935360,898,945,2153,-0.015428359678480774,0.1785888671875,0.9897189140319824,-0.002229034900665283,3776,0.15897138649597764,-4.633329227566719,0.15,178.06,0.010161486,-28.32,0.0002016672
1937408,898,946,2155,-0.012988067552214488,0.19091796875,0.9883925914764404,-0.012158110737800598,3780,0.15018269512802362,-4.705489411950111,0.15,178.18,0.010709947,-28.46,0.000201616
1939456,898,947,2157,-0.012868004690972157,0.148681640625,0.9842513799667358,-0.03278498351573944,3784,0.17696167528629303,-4.60770221054554,0.15,177.73,0.010228613,-28.28,0.0002015648
1941504,898,948,2160,-0.010263066011248156,0.126220703125,0.9887937903404236,0.007375158369541168,3788,0.17314306483604014,-4.614638388156891,0.15,177.15,0.006359564,-28.16,0.00020151360000000002
1943552,898,949,2162,-0.011761307046981528,0.11572265625,0.983262836933136,0.06130516529083252,3792,0.2181051285006106,-4.659335970878601,0.15,177.24,0.008906603,-28.13,0.0002014624
1945600,898,950,2164,-0.012983777065528557,0.1744384765625,0.9901608824729919,-0.014073804020881653,3796,0.15407707612030208,-4.617019146680832,0.15,177.24,0.010508785,-28.15,0.00020141120000000001
1947648,898,951,2166,-0.01375751823070459,0.1563720703125,0.9888861775398254,0.007142182439565659,3800,0.15343502582982183,-4.6599118411540985,0.15,177.61,0.008948511,-28.02,0.00020135999999999998
1949696,898,952,2169,-0.011710627702996135,0.1280517578125,0.988376259803772,0.011732861399650574,3804,0.15709575777873397,-4.631980314850807,0.15,177.79,0.007311635,-28.1,0.0002013088
1951744,898,953,2171,-0.011666731996228918,0.169677734375,0.9861671328544617,-0.010302096605300903,3808,0.1655551716685295,-4.623153477907181,0.15,177.58,0.010162679,-28.0,0.0002012576
1953792,898,954,2173,-0.013115494773956016,0.1749267578125,0.9907419085502625,0.009248144924640656,3812,0.1415961568709463,-4.6600010842084885,0.15,178.25,0.009372809,-28.09,0.0002012064
1955840,898,955,2176,-0.011516488928464241,0.1812744140625,0.9873091578483582,-0.004642650485038757,3816,0.16819188208319247,-4.602415025234222,0.15,177.86,0.008757968,-27.95,0.00020115520000000002
1957888,898,956,2178,-0.01038540987065062,0.1207275390625,0.9911543130874634,0.030038997530937195,3820,0.13319616590160877,-4.625795498490334,0.15,177.71,0.007878847,-27.98,0.00020110400000000002
1959936,898,957,2180,-0.014218058000551537,0.1668701171875,0.9905693531036377,-0.01697753369808197,3824,0.14366914005950093,-4.563707545399666,0.15,177.9,0.01111155,-28.01,0.00020105280000000001
1961984,898,958,2183,-0.013439210888464004,0.15673828125,0.9913579821586609,0.0016818791627883911,3828,0.13840081659145653,-4.598183140158653,0.15,177.64,0.008577092,-27.9,0.0002010016
1964032,898,959,2185,-0.012496713869040832,0.1368408203125,0.989319920539856,0.007173158228397369,3832,0.14614683482795954,-4.630385056138039,0.15,177.64,0.0070708087,-27.88,0.0002009504
1966080,898,960,2187,-0.010960453058942221,0.19775390625,0.984052300453186,0.03584468737244606,3836,0.1826183379162103,-4.605995908379555,0.15,177.83,0.010373166,-28.06,0.0002008992
1968128,898,961,2190,-0.009582452512404416,0.1490478515625,0.9875922799110413,0.016479626297950745,3840,0.17870956589467824,-4.53997378051281,0.15,177.64,0.008358374,-27.97,0.000200848
1970176,898,962,2192,-0.011044575658161193,0.151123046875,0.9839168787002563,-0.024819999933242798,3844,0.1868476658128202,-4.625684395432472,0.15,177.27,0.008790316,-27.97,0.0002007968
1972224,898,963,2194,-0.014609356760047376,0.1563720703125,0.9895856976509094,0.005153808742761612,3848,0.1646907743997872,-4.570272728800774,0.15,177.81,0.009710411,-28.15,0.0002007456
1974272,898,964,2196,-0.011987916543148458,0.1484375,0.9916171431541443,-0.005137782543897629,3852,0.12828709767200053,-4.574762269854546,0.15,177.08,0.01006048,-28.11,0.0002006944
1976320,898,965,2199,-0.014774631374166347,0.179931640625,0.988068699836731,0.02629702538251877,3856,0.1437857097480446,-4.660024672746658,0.15,177.64,0.011250662,-28.26,0.0002006432
1978368,898,966,2201,-0.014439821286941878,0.1898193359375,0.9891175627708435,-0.018325969576835632,3860,0.15968189295381308,-4.577348440885544,0.15,177.43,0.008363983,-28.21,0.000200592
1980416,898,967,2203,-0.01294345295173116,0.1260986328125,0.9903532862663269,-0.00833931565284729,3864,0.15145199350081384,-4.604301854968071,0.15,177.01,0.007888186,-28.26,0.0002005408
1982464,898,968,2205,-0.014454581774771214,0.1728515625,0.9885545372962952,-0.012299958616495132,3868,0.14781538769602776,-4.591923251748085,0.15,177.19,0.010021124,-28.29,0.0002004896
1984512,898,969,2208,-0.012644656613701954,0.1712646484375,0.98932284116745,0.011355757713317871,3872,0.16945761535316706,-4.609121814370155,0.15,176.99,0.009279262,-28.13,0.00020043840000000002
1986560,898,970,2210,-0.01325041422387585,0.1600341796875,0.9895722270011902,0.004469886422157288,3876,0.1533409827388823,-4.641660764813423,0.15,176.56,0.0070273182,-27.93,0.0002003872
1988608,898,971,2213,-0.014508291511447169,0.1553955078125,0.9899209141731262,0.011728212237358093,3880,0.1455833970103413,-4.672415271401405,0.15,177.54,0.008426469,-28.12,0.00020033600000000001
1990656,898,972,2215,-0.010721136190113612,0.1361083984375,0.9906368851661682,-0.007063999772071838,3884,0.13394275913015008,-4.685338690876961,0.15,177.48,0.009546474,-28.06,0.00020028479999999998
1992704,898,973,2217,-0.01540278026368469,0.180419921875,0.9880701899528503,-0.020927831530570984,3888,0.173904086695984,-4.633529603481293,0.15,177.62,0.010744229,-28.05,0.0002002336
1994752,898,974,2220,-0.01155982175259851,0.165771484375,0.9884046912193298,0.02626928687095642,3892,0.16198176075704396,-4.666930690407753,0.15,177.5,0.011716427,-28.06,0.0002001824
1996800,898,975,2222,-0.0139537223149091,0.16162109375,0.9876237511634827,0.006341557949781418,3896,0.1784872026182711,-4.622471511363983,0.15,177.64,0.009826087,-28.01,0.00020013120000000003
1998848,898,976,2224,-0.016760270096710883,0.1812744140625,0.9897158741950989,0.00011971592903137207,3900,0.15505528054200113,-4.617546454071999,0.15,177.42,0.0110839475,-27.97,0.00020008000000000002
2000896,898,977,2227,-0.010208867897745222,0.1527099609375,0.9907382726669312,-0.015677504241466522,3904,0.13434830866754055,-4.6550470888614655,0.15,177.3,0.008584026,-28.0,0.00020002880000000002
2002944,898,978,2229,-0.014604502473957837,0.192138671875,0.9872762560844421,-0.017481841146945953,3908,0.17262048041447997,-4.6793190985918045,0.15,177.84,0.0097524915,-28.05,0.00019997760000000001
2004992,898,979,2231,-0.01280904997838661,0.194091796875,0.9863989949226379,0.008390508592128754,3912,0.17998851207084954,-4.623454421758652,0.15,177.88,0.008483805,-28.06,0.0001999264
2007040,898,980,2234,-0.01523369352798909,0.182373046875,0.9873420596122742,0.0554497167468071,3916,0.1886743747163564,-4.699677497148514,0.15,178.13,0.010804204,-28.12,0.0001998752
2009088,898,981,2236,-0.01425308026955463,0.14892578125,0.9807494282722473,-0.0025042742490768433,3920,0.21494311513379216,-4.643637180328369,0.15,178.31,0.010590296,-28.28,0.000199824
2011136,898,982,2238,-0.013576332756201737,0.1654052734375,0.989277184009552,0.05688709020614624,3924,0.16105757281184196,-4.652485966682434,0.15,177.34,0.009046928,-28.11,0.0001997728
2013184,898,983,2240,-0.011718575871782377,0.17138671875,0.9891578555107117,0.047665663063526154,3928,0.15452046669088304,-4.720564886927605,0.15,177.33,0.009857772,-28.2,0.0001997216
2015232,898,984,2243,-0.011214345111511648,0.2061767578125,0.983809232711792,0.03588441014289856,3932,0.19365097023546696,-4.6484561413526535,0.15,177.44,0.012196844,-28.29,0.0001996704
2017280,898,985,2245,-0.01233103773847688,0.1370849609375,0.9844567775726318,0.029507353901863098,3936,0.17853448982350528,-4.649754822254181,0.15,177.6,0.008821087,-28.12,0.0001996192
2019328,898,986,2247,-0.01647514893556945,0.18994140625,0.9862967729568481,0.026084482669830322,3940,0.18069527600891888,-4.731568813323975,0.15,177.87,0.012610024,-28.46,0.000199568
2021376,898,987,2249,-0.013854710385203362,0.2042236328125,0.9892190098762512,-0.021915338933467865,3944,0.17907576076686382,-4.640591144561768,0.15,177.9,0.011118339,-28.61,0.0001995168
