time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
649,747520,1151,365,-0.08763604611158371,0.21868192916736007,0.3629150390625,0.15,-0.049197232467122376,0.05975533,0.8662598729133606,-4.435607597231865,0.00021272640000000002,1456,36.49048413,880.81
649,749568,1154,366,-0.10767967998981476,0.10769240010995418,0.4290771484375,0.15,-0.060685520264087245,0.086510316,0.9438905119895935,-4.3878825306892395,0.00021262400000000002,1460,36.985732240000004,895.74
649,751616,1158,367,-0.08488411456346512,0.1480651767924428,0.4119873046875,0.15,-0.05394997404073365,0.09110521,0.9509721994400024,-4.394274547696114,0.0002125216,1464,37.11386235,897.65
648,753664,1161,368,-0.0984368771314621,0.09673188324086368,0.413818359375,0.15,-0.056913525419076905,0.07889011,0.9610599875450134,-4.310943618416786,0.0002124192,1468,37.02548298000001,896.2
648,755712,1164,369,-0.07541287690401077,0.16664637788198888,0.3876953125,0.15,-0.049697339738486335,0.067886055,0.9145596027374268,-4.409500688314438,0.0002123168,1472,37.143049600000005,900.56
648,757760,1167,370,-0.0946018174290657,0.11399783520027995,0.3868408203125,0.15,-0.05066410006838851,0.069467306,0.9572407603263855,-4.338462293148041,0.0002122144,1476,36.931171000000006,892.84
648,759808,1171,371,-0.0998203232884407,0.13765294710174203,0.4000244140625,0.15,-0.055440827913116664,0.09523575,0.915354311466217,-4.3075085282325745,0.000212112,1480,36.68687835000001,887.12
648,761856,1174,372,-0.07607845216989517,0.18807657668367028,0.3416748046875,0.15,-0.046775939350482076,0.055259727,0.8868938684463501,-4.413343638181686,0.0002120096,1484,36.44388552,880.72
648,763904,1177,373,-0.09661500155925751,0.10200508206617087,0.39453125,0.15,-0.05291269703593571,0.075764105,0.9618967771530151,-4.2456216514110565,0.0002119072,1488,36.30868103000001,878.37
648,765952,1180,374,-0.09758102148771286,0.14704078808426857,0.3714599609375,0.15,-0.04933155182516202,0.06789078,0.930399477481842,-4.3361101895570755,0.0002118048,1492,36.32772048,877.76
648,768000,1183,375,-0.09267490357160568,0.1252376912161708,0.4102783203125,0.15,-0.0538437744253315,0.081886426,0.954004168510437,-4.275452256202698,0.00021170240000000003,1496,36.32772048,877.76
648,770048,1186,376,-0.10092722624540329,0.13210185733623803,0.368408203125,0.15,-0.05223204172216356,0.062195413,0.8532752990722656,-4.332071200013161,0.00021160000000000002,1500,36.32772048,877.76
648,772096,1190,377,-0.10123462975025177,0.10002518235705793,0.41015625,0.15,-0.052455732598900795,0.07447977,0.7519868016242981,-4.38951712846756,0.0002114976,1504,36.308898430000006,875.51
648,774144,1193,378,-0.081550732254982,0.1579004826489836,0.378173828125,0.15,-0.055770797800505534,0.07726772,0.9047785997390747,-4.396909415721893,0.0002113952,1508,36.33582706,877.4
648,776192,1196,379,-0.08377033472061157,0.12846748845186085,0.36279296875,0.15,-0.05186542775481939,0.06251155,0.9173945784568787,-4.427396297454834,0.0002112928,1512,36.28575204,878.3
