time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
4693,2009,876,4114432,0.15,-0.02424006484216079,0.0001471904,0.8218902945518494,0.2578125,8032,0.011534906923770905,-3.602267049252987,0.2623517350293696,0.038652696,70.56706572,1132.61
4695,2010,876,4116480,0.15,-0.029388881666818634,0.0001471392,0.9036340713500977,0.2626953125,8036,-0.017747744917869568,-3.6136385798454285,0.1985614257864654,0.03395176,70.56706572,1132.61
4697,2011,876,4118528,0.15,-0.026932554959785193,0.000147088,0.8278305530548096,0.2733154296875,8040,0.0013105720281600952,-3.7517214938998222,0.22340638795867562,0.036918443,70.20395709,1130.24
4700,2012,876,4120576,0.15,-0.027543823031010106,0.0001470368,0.9466902017593384,0.2781982421875,8044,-0.03322349488735199,-3.795980826020241,0.21998752048239112,0.039677896,70.63225382,1136.34
4702,2013,876,4122624,0.15,-0.03230498591437936,0.0001469856,0.9830559492111206,0.27685546875,8048,-0.03469778597354889,-3.7586710527539253,0.14898747066035867,0.03634874,70.43957456,1135.32
4704,2014,876,4124672,0.15,-0.028366301499772817,0.00014693440000000001,0.9288263916969299,0.2537841796875,8052,0.042204104363918304,-3.74958049505949,0.3456502300687134,0.038511068,70.68152121999998,1137.14
4707,2015,876,4126720,0.15,-0.02815908580669202,0.00014688319999999998,0.935447633266449,0.27685546875,8056,-0.003080233931541443,-3.5908966809511185,0.3139822678640485,0.035283543,71.02604206,1142.45
4709,2016,876,4128768,0.15,-0.029254817811306566,0.00014683200000000003,0.921631932258606,0.280517578125,8060,0.03905079513788223,-3.516056776046753,0.26107919914647937,0.04143262,71.59086199,1151.08
4711,2017,876,4130816,0.15,-0.027473216352518648,0.0001467808,0.8993588089942932,0.233154296875,8064,0.02431749552488327,-3.5156756713986397,0.262804816942662,0.029124888,71.34824275999999,1146.97
4713,2018,876,4132864,0.15,-0.03150851040845737,0.00014672960000000003,0.9295558333396912,0.2630615234375,8068,0.00792095810174942,-3.665456809103489,0.22664845315739512,0.038076714,71.45332480999998,1147.85
4716,2019,876,4134912,0.15,-0.031448283581994474,0.0001466784,0.9086804986000061,0.283935546875,8072,0.015326060354709625,-3.7407084703445435,0.28119266708381474,0.03680612,71.58247711,1147.99
4718,2020,876,4136960,0.15,-0.025121182639850304,0.00014662720000000002,0.9609330296516418,0.2550048828125,8076,-0.010651372373104095,-3.598612740635872,0.19756607827730477,0.0343522,71.71274715,1145.78
4720,2021,876,4139008,0.15,-0.028945246944203973,0.000146576,0.9602649807929993,0.256591796875,8080,-0.03621071204543114,-3.7173286080360413,0.21985144983045757,0.03650432,71.72118144,1146.69
4723,2022,876,4141056,0.15,-0.027940266751102172,0.0001465248,0.948658287525177,0.2969970703125,8084,-0.007245913147926331,-3.7159844785928726,0.22183254780247808,0.034135833,71.41005779,1145.38
4725,2023,876,4143104,0.15,-0.027494836976984516,0.00014647359999999998,0.9604141116142273,0.27392578125,8088,-0.00920926034450531,-3.6958236321806908,0.22776796203106642,0.036088154,70.79673931999999,1136.01
4727,2024,876,4145152,0.15,-0.022216825105715543,0.0001464224,0.9427908062934875,0.2691650390625,8092,-0.01383902132511139,-3.6388288736343384,0.24185862997546792,0.03909079,70.79673931999999,1136.01
4729,2025,876,4147200,0.15,-0.02858501285663806,0.0001463712,0.9118043780326843,0.27587890625,8096,0.016982004046440125,-3.5738018453121185,0.3113228161819279,0.036559425,70.58752179,1131.47
4732,2026,876,4149248,0.15,-0.02921647366019897,0.00014632000000000002,0.9583654403686523,0.256103515625,8100,-0.00991395115852356,-3.5648069977760315,0.22103703953325748,0.036616426,70.69473748,1133.07
4734,2027,876,4151296,0.15,-0.028564583815750666,0.00014626880000000002,0.9681228995323181,0.2489013671875,8104,-0.03503851592540741,-3.6561414301395416,0.1586268558166921,0.030003957,70.69473748,1133.07
4736,2028,876,4153344,0.15,-0.0307768507336732,0.00014621760000000001,0.9426159262657166,0.2855224609375,8108,-0.030610311776399612,-3.680905483663082,0.19772677426226437,0.04631871,70.63661494000002,1131.97
4739,2029,876,4155392,0.15,-0.027495178597746417,0.0001461664,0.9375417232513428,0.2994384765625,8112,0.042082637548446655,-3.785525932908058,0.3200776232406497,0.047769886,70.5133475,1130.04
4741,2030,876,4157440,0.15,-0.0340084713534452,0.0001461152,0.9758173823356628,0.267578125,8116,-0.043189678341150284,-3.689046487212181,0.14198994124308228,0.035969682,70.56067088,1130.65
4743,2031,876,4159488,0.15,-0.03004281932953745,0.000146064,0.9589744210243225,0.2578125,8120,-0.031137049198150635,-3.7154335528612137,0.19076667167246342,0.031258084,70.64521059,1132.48
4745,2032,876,4161536,0.15,-0.029325606345082633,0.0001460128,0.9727811217308044,0.2982177734375,8124,-0.03143933415412903,-3.600635848939419,0.16599471401423216,0.042905845,71.02421029000001,1137.57
4748,2033,876,4163584,0.15,-0.025026385934324935,0.0001459616,0.9399147033691406,0.2633056640625,8128,0.002439647912979126,-3.6520381942391396,0.2919742804951966,0.029124497,71.32136003000001,1142.91
4750,2034,876,4165632,0.15,-0.027266383287496865,0.0001459104,0.9621499180793762,0.29296875,8132,0.010115295648574829,-3.641670048236847,0.27433091308921576,0.04127641,71.28772715000001,1142.59
4752,2035,876,4167680,0.15,-0.02782552331336774,0.0001458592,0.9142696857452393,0.2578125,8136,0.06992999464273453,-3.605871506035328,0.39751497004181147,0.039090473,71.46221435000001,1144.14
4754,2036,876,4169728,0.15,-0.027294808067381382,0.00014580799999999998,0.9480934739112854,0.265869140625,8140,-0.024049505591392517,-3.539610877633095,0.22450169501826167,0.036626212,71.28787615,1141.85
4757,2037,876,4171776,0.15,-0.02950389712350443,0.00014575680000000003,0.9319041967391968,0.254150390625,8144,0.011059790849685669,-3.5478167831897736,0.30430060252547264,0.03620699,71.22198024000001,1137.71
4759,2038,876,4173824,0.15,-0.027832853491418064,0.0001457056,0.9549545645713806,0.23779296875,8148,-0.03409550338983536,-3.5842150524258614,0.16540116863325238,0.03291628,71.22198024000001,1137.71
4761,2039,876,4175872,0.15,-0.024411139427684247,0.00014565440000000003,0.9227094054222107,0.270751953125,8152,-0.002285905182361603,-3.710281617939472,0.26500230841338634,0.0406994,71.26365685,1137.61
4764,2040,876,4177920,0.15,-0.02952973122592084,0.0001456032,0.9128726124763489,0.25927734375,8156,0.01985645294189453,-3.685698375105858,0.3361277272924781,0.0394835,71.46842058,1137.21
4766,2041,876,4179968,0.15,-0.026731594145530835,0.00014555200000000002,0.9109187722206116,0.2674560546875,8160,0.031229346990585327,-3.6145996302366257,0.3478541877120733,0.040502127,71.88903696000001,1142.85
4768,2042,876,4182016,0.15,-0.024140990455634892,0.0001455008,0.9460391998291016,0.2884521484375,8164,0.05235862731933594,-3.73019727319479,0.33823668537661433,0.03878703,71.91789711999999,1142.9
4771,2043,876,4184064,0.15,-0.02851649501826614,0.0001454496,0.9455080032348633,0.26708984375,8168,-0.012939222157001495,-3.525463469326496,0.2122783842496574,0.03739611,71.80850971999999,1142.36
