time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4009984,3920,1958,1022,0.004652501,-0.006336707156151533,9.920639999999997e-05,-4.421648025512695,0.9557385444641113,0.1,0.29883188055828214,0.13232421875,0.07629769295454025,7828,56.46217655,926.59
4012032,3922,1959,1022,0.003840294,-0.008659459024784155,9.900160000000002e-05,-4.281910195946693,0.9575157165527344,0.1,0.24600211484357715,0.1221923828125,0.04166301339864731,7832,56.394035599999995,925.59
4014080,3924,1960,1022,0.0033779596,-0.01055117670330219,9.879680000000002e-05,-4.281099379062653,0.9625588059425354,0.1,0.16880286997184157,0.098876953125,0.0038060173392295837,7836,56.394035599999995,925.59
4016128,3926,1961,1022,0.0035178037,-0.011393241147743538,9.859200000000002e-05,-4.3651255667209625,0.9184002876281738,0.1,0.2759253606200218,0.1068115234375,0.04899413138628006,7840,56.62894131000001,929.84
4018176,3928,1962,1022,0.0047434047,-0.009580327779985964,9.83872e-05,-4.372929155826569,0.9518939256668091,0.1,0.28700982220470905,0.12158203125,0.06378336250782013,7844,56.315171760000005,925.25
4020224,3930,1963,1022,0.0031741315,-0.009455925901420414,9.81824e-05,-4.288170784711838,0.9509561657905579,0.1,0.2301109260879457,0.078369140625,0.03533920273184776,7848,56.383616450000005,927.08
4022272,3932,1964,1022,0.0037972003,-0.009918040392221883,9.79776e-05,-4.380964711308479,0.9096683859825134,0.1,0.2967724218033254,0.103759765625,0.09314797818660736,7852,56.69082799000001,929.97
4024320,3934,1965,1022,0.00312335,-0.01027435704600066,9.77728e-05,-4.429127350449562,0.9702900648117065,0.1,0.14857932389713824,0.09375,-0.006292559206485748,7856,57.24312529000001,937.43
4026368,3936,1966,1022,0.0026718688,-0.008798882336122915,9.756799999999998e-05,-4.310663223266602,0.9514259696006775,0.1,0.2662351964972913,0.0836181640625,0.057555343955755234,7860,57.134282379999995,934.55
4028416,3938,1967,1022,0.0036520252,-0.009373957334901206,9.736319999999998e-05,-4.248473808169365,0.968238890171051,0.1,0.19386652344837785,0.0946044921875,0.02797464281320572,7864,56.99925165,934.2
4030464,3940,1968,1022,0.004247018,-0.007761356173432432,9.715839999999998e-05,-4.432381838560104,0.9398608207702637,0.1,0.31238295743241906,0.118896484375,0.02954685688018799,7868,56.90521179,933.47
4032512,3942,1969,1022,0.0039349366,-0.00897634147258941,9.695359999999998e-05,-4.349115535616875,0.9269652962684631,0.1,0.252602762542665,0.092041015625,0.07019953429698944,7872,56.95996928,932.62
4034560,3944,1970,1022,0.0024995413,-0.00752256230043713,9.674880000000003e-05,-4.364807367324829,0.9486044645309448,0.1,0.2235460584051907,0.068359375,0.06443384289741516,7876,57.22416503000002,937.11
4036608,3946,1971,1022,0.0044624843,-0.007579474768135697,9.654400000000002e-05,-4.3456676453351974,0.9202016592025757,0.1,0.4225510712713003,0.1121826171875,0.06791950762271881,7880,57.18171396000002,936.35
4038656,3948,1972,1022,0.0038579197,-0.006807397672673687,9.633920000000001e-05,-4.328193828463554,0.9129018783569336,0.1,0.3451273483224213,0.105224609375,0.10675762593746185,7884,57.533959220000014,940.28
4040704,3950,1973,1022,0.0030795177,-0.008300274901557714,9.613440000000001e-05,-4.439795225858688,0.9461915493011475,0.1,0.2851210334338248,0.1141357421875,0.046632617712020874,7888,57.447734790000005,938.97
