time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
165888,1034,160,81,-0.003322072749142535,320,0.000241808,0.0061052414,0.05689100921154022,0.2,-5.201121002435684,0.23606031807139516,0.9044722318649292,0.045654296875,20.157825539999997,577.13
167936,1033,162,82,-0.0055626504035899416,324,0.0002417056,0.007062733,0.054815083742141724,0.2,-5.195809692144394,0.23778605926781893,0.9093254804611206,0.0899658203125,20.00338439,575.58
169984,1033,164,83,-0.0048895366926444694,328,0.0002416032,0.005422352,0.052181459963321686,0.2,-5.184203147888184,0.245622088201344,0.9201188087463379,0.04296875,19.993585460000002,576.16
172032,1033,166,84,-0.003845374012598768,332,0.0002415008,0.0069451313,0.043663620948791504,0.2,-5.169809028506279,0.21911239391192794,0.9384227991104126,0.06787109375,20.012116090000003,580.91
174080,1033,168,85,-0.0018380768015049398,336,0.0002413984,0.010932835,0.06791477650403976,0.2,-5.159199729561806,0.27487904531881213,0.9086930751800537,0.102294921875,20.415548700000002,589.88
176128,1033,170,86,-0.005593981433776207,340,0.00024129600000000003,0.007851722,0.036903105676174164,0.2,-5.164355039596558,0.26068256003782153,0.9215972423553467,0.0533447265625,20.647788370000004,589.84
178176,1033,172,87,-0.006259442190639675,344,0.00024119360000000002,0.009902725,0.030932925641536713,0.2,-5.166941612958908,0.2317282254807651,0.930740475654602,0.0799560546875,20.71481307,593.9
180224,1034,174,88,-0.011886307096574455,348,0.0002410912,0.010408546,0.024309001863002777,0.2,-5.204150453209877,0.23495000042021275,0.9113675951957703,0.11376953125,20.81344846,594.16
182272,1034,176,89,-0.009117717650951818,352,0.0002409888,0.005317007,0.0528738796710968,0.2,-5.157519072294235,0.26257083378732204,0.9305381774902344,0.048095703125,20.988250439999998,594.66
184320,1034,178,90,-0.005356560926884413,356,0.0002408864,0.007123002,0.04019751399755478,0.2,-5.139602422714233,0.2452650899067521,0.9076968431472778,0.05126953125,21.016992340000005,594.56
186368,1034,180,91,-0.0053461549105122685,360,0.000240784,0.011372641,0.0032259970903396606,0.2,-5.193370923399925,0.16985128168016672,0.9437189102172852,0.1142578125,20.97569954,596.13
188416,1034,182,92,-0.005047088678111322,364,0.0002406816,0.0071093175,0.012603256851434708,0.2,-5.152670323848724,0.1969128712080419,0.9484481811523438,0.08447265625,21.142435839999997,597.74
190464,1035,183,93,-0.0061543265474028885,368,0.0002405792,0.006117444,0.05817309021949768,0.2,-5.103760182857513,0.2525092354044318,0.9323525428771973,0.1064453125,21.11413281,597.22
192512,1035,185,94,-0.005430719582363963,372,0.0002404768,0.0068146503,0.04182686656713486,0.2,-5.18076254427433,0.22878971882164478,0.9207695722579956,0.072998046875,21.149957430000004,598.83
194560,1035,187,95,-0.006784859782783315,376,0.0002403744,0.00801513,0.03130452334880829,0.2,-5.301442071795464,0.226934929843992,0.856778621673584,0.0733642578125,21.126658520000007,599.44
196608,1033,190,96,-0.00400493698543869,380,0.00024027199999999998,0.0067349067,0.0570392943918705,0.2,-5.157838046550751,0.2659516981802881,0.9252748489379883,0.034423828125,21.30149942,597.88
198656,1034,192,97,-0.005555949537665583,384,0.00024016960000000003,0.008471261,0.06806658953428268,0.2,-5.151115328073502,0.2406679973937571,0.9444447755813599,0.08544921875,21.24417339,596.89
200704,1034,194,98,-0.0038371910341084003,388,0.00024006720000000002,0.006914224,0.029966458678245544,0.2,-5.091484755277634,0.22637778567150235,0.9346573352813721,0.086669921875,21.509049680000004,606.55
202752,1033,196,99,-0.00813705162727274,392,0.0002399648,0.0072979913,0.03790762275457382,0.2,-5.252719298005104,0.28117001755163074,0.9122871160507202,0.109130859375,21.43222749,602.86
204800,1033,198,100,-0.005345957892131992,396,0.0002398624,0.006995995,0.03191380947828293,0.2,-5.16770912706852,0.21634258795529604,0.943221390247345,0.0477294921875,21.584318460000006,606.45
206848,1032,200,101,-0.008939702791394666,400,0.00023976,0.0075453673,0.024368807673454285,0.2,-5.103119388222694,0.20562535896897316,0.9513310790061951,0.1077880859375,21.695884549999995,608.59
208896,1033,202,102,-0.007426175754517317,404,0.00023965760000000001,0.0065123793,0.04152835160493851,0.2,-5.224053740501404,0.23968176217749715,0.9233235716819763,0.080810546875,21.65616544,608.28
210944,1032,204,103,-0.005769222480012104,408,0.0002395552,0.0058751768,0.03833473473787308,0.2,-5.14539447426796,0.19371126173064113,0.9353477954864502,0.08447265625,21.5184145,604.91
212992,1032,206,104,-0.004817610824829899,412,0.0002394528,0.00524202,0.03156854212284088,0.2,-5.242027297616005,0.214121971745044,0.9391316175460815,0.04296875,21.44495686,602.6
