time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1036,4028,2039,4175872,0.0023979289,8152,0.36919136671349406,0.9293451309204102,-0.0033194394636666402,1.6523520000000003e-05,0.0748753696680069,0.0172119140625,0.2,-4.283712074160576,848.71,48.652119400000004
1036,4030,2040,4177920,0.0032354877,8156,0.3594163600355387,0.9228172302246094,-0.002252498656162061,1.648256e-05,0.0954800695180893,0.012451171875,0.2,-4.260018557310104,848.26,48.555565570000006
1036,4032,2041,4179968,0.0029874397,8160,0.3952292436733842,0.9091166257858276,-0.004294348458643071,1.6441600000000002e-05,0.12733420729637146,0.03125,0.2,-4.281545266509056,848.26,48.555565570000006
1036,4034,2042,4182016,0.002249055,8164,0.48121263459324837,0.8674542903900146,-0.0024391911865677685,1.640064e-05,0.16987141966819763,0.010986328125,0.2,-4.291323333978653,848.43,48.52866061000002
1036,4036,2043,4184064,0.0036952174,8168,0.4097893722355366,0.924605667591095,-0.002465732570271939,1.635968e-05,0.14211037755012512,0.01611328125,0.2,-4.208518356084824,850.37,48.64525231
1036,4038,2044,4186112,0.0034835257,8172,0.4009962733834982,0.9333279728889465,-0.0017943299681064673,1.6318719999999998e-05,0.11624479293823242,0.01416015625,0.2,-4.368349179625511,847.33,48.5626578
1036,4040,2045,4188160,0.0023737992,8176,0.4312741020694375,0.9301028251647949,-0.002209339552791789,1.627776e-05,0.18900233507156372,0.00732421875,0.2,-4.289600685238838,850.32,48.48221323999999
1036,4042,2046,4190208,0.0026581155,8180,0.45842132717370987,0.9051501154899597,-0.0025913121571647935,1.6236799999999997e-05,0.17472228407859802,0.0062255859375,0.2,-4.3069092482328415,848.46,48.4522133
1036,4044,2047,4192256,0.005173513,8184,0.2686061239801347,0.944164514541626,-0.0018085134943248704,1.6195839999999994e-05,0.0633760318160057,0.03857421875,0.2,-4.2831169962883,849.78,48.43708949999999
1036,4046,2048,4194304,0.0029889916,8188,0.3663359619677067,0.8762110471725464,-0.001310604318859987,1.6154880000000005e-05,0.081149622797966,0.0106201171875,0.2,-4.340264782309532,854.42,48.74088835
1036,4048,2049,4196352,0.005085047,8192,0.412065046839416,0.9068478345870972,-0.002696724099223502,1.6113920000000003e-05,0.12896820902824402,0.02734375,0.2,-4.319960251450539,858.42,48.84150615000001
